G27,G22,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G18,G30,G10,G31,G04,G23,G11
29850.0,28980.0,,57150.0,3030.0,44400.0,45600.0,12960.0,26610.0,,120.0,22500.0,2700.0,15600.0,35820.0,930,9330.0,23880.0,13530.0,26760.0,14700.0,5790.0,3000.0,,2790.0,4800.0,16410.0,36030.0,30240.0,15090.0,14280.0
54780.0,29880.0,,,,,49350.0,28530.0,49140.0,,14550.0,60570.0,17700.0,16830.0,59160.0,38370,59310.0,24030.0,13560.0,27390.0,,30870.0,3930.0,,23580.0,5520.0,34620.0,37530.0,54270.0,32190.0,14580.0
,45840.0,,,,,62100.0,82980.0,,,69540.0,78570.0,71460.0,41880.0,,41940,77400.0,,,43530.0,,34470.0,25740.0,,41880.0,5580.0,52590.0,,74340.0,48420.0,27810.0
,,,,,,,,,,,,,42210.0,,45690,,,,,,73590.0,30870.0,,43110.0,69480.0,,,,,82800.0
,,,,,,,,,,,,,,,66480,,,,,,83490.0,70080.0,,,,,,,,
,,,,,,,,,,,,,,,85680,,,,,,,,,,,,,,,
