G27,G22,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G18,G30,G10,G31,G04,G23,G11
985.0,712.0,659.0,2240.0,438.0,1134.0,1508.0,657.0,887.0,1932.0,4.0,400.0,329.0,173.0,1194.0,26.0,1.0,352.0,30.0,615.0,800.0,225.0,114,1669.0,1.0,162.0,226.0,901.0,964.0,224.0,690.0
1411.0,723.0,670.0,2251.0,449.0,1145.0,1519.0,668.0,1258.0,1943.0,224.0,565.0,340.0,184.0,1605.0,1263.0,12.0,363.0,41.0,626.0,811.0,236.0,125,1680.0,62.0,173.0,237.0,912.0,975.0,235.0,701.0
1422.0,734.0,681.0,2262.0,460.0,1156.0,1628.0,679.0,1269.0,1954.0,235.0,576.0,351.0,195.0,1616.0,1274.0,23.0,374.0,52.0,637.0,822.0,1008.0,849,1691.0,73.0,2612.0,298.0,923.0,986.0,246.0,712.0
1433.0,745.0,692.0,2273.0,471.0,1167.0,1639.0,690.0,1280.0,1965.0,246.0,587.0,362.0,206.0,1627.0,1394.0,34.0,385.0,63.0,648.0,833.0,1020.0,914,1702.0,86.0,2623.0,309.0,934.0,997.0,257.0,723.0
1444.0,756.0,703.0,2284.0,482.0,1178.0,1765.0,701.0,1291.0,1976.0,257.0,598.0,373.0,217.0,1638.0,1407.0,301.0,396.0,74.0,659.0,844.0,1031.0,925,1713.0,97.0,2634.0,347.0,945.0,1008.0,268.0,734.0
1455.0,767.0,714.0,2295.0,493.0,1189.0,1776.0,712.0,1302.0,1987.0,268.0,609.0,384.0,228.0,1649.0,1429.0,312.0,407.0,85.0,670.0,855.0,1133.0,936,1724.0,1054.0,2645.0,358.0,956.0,2106.0,279.0,745.0
1466.0,778.0,725.0,2306.0,504.0,1200.0,1833.0,723.0,1313.0,1998.0,279.0,620.0,395.0,239.0,1660.0,1440.0,1753.0,418.0,96.0,681.0,866.0,1144.0,947,1735.0,1065.0,2656.0,369.0,967.0,2117.0,290.0,756.0
1477.0,979.0,736.0,,,1211.0,1844.0,734.0,1324.0,2417.0,290.0,631.0,584.0,250.0,1671.0,1451.0,1764.0,429.0,107.0,897.0,,2767.0,958,1746.0,1076.0,2667.0,380.0,978.0,2128.0,503.0,767.0
1488.0,990.0,,,,,1860.0,936.0,1335.0,,301.0,642.0,595.0,555.0,1682.0,1462.0,1775.0,792.0,436.0,908.0,,,969,2159.0,1087.0,2678.0,391.0,1240.0,2139.0,1306.0,913.0
,1766.0,,,,,1871.0,947.0,1633.0,,476.0,737.0,2105.0,566.0,,1508.0,1786.0,803.0,447.0,1686.0,,,980,,1098.0,,402.0,1251.0,2150.0,1317.0,924.0
,1777.0,,,,,1882.0,2429.0,1644.0,,487.0,748.0,2116.0,1356.0,,1519.0,1797.0,,,1697.0,,,991,,1109.0,,533.0,2016.0,2161.0,1328.0,2473.0
,1788.0,,,,,1893.0,2486.0,2426.0,,2034.0,2324.0,2127.0,1367.0,,2488.0,1808.0,,,1708.0,,,1015,,1120.0,,544.0,2027.0,2172.0,1339.0,2484.0
,1799.0,,,,,1904.0,2497.0,2437.0,,2045.0,2335.0,2138.0,1378.0,,2499.0,1819.0,,,1719.0,,,1026,,1433.0,,1416.0,2038.0,,1350.0,2495.0
,1810.0,,,,,1915.0,2508.0,2448.0,,2056.0,2346.0,2149.0,1389.0,,2510.0,1967.0,,,1730.0,,,1038,,2810.0,,1427.0,2049.0,,1361.0,2506.0
,1821.0,,,,,1926.0,2519.0,2459.0,,2067.0,2357.0,2160.0,1401.0,,2521.0,1978.0,,,1741.0,,,2645,,2821.0,,1438.0,2060.0,,1372.0,2517.0
,1832.0,,,,,2058.0,2530.0,2470.0,,2078.0,2368.0,2171.0,1420.0,,2532.0,2839.0,,,1752.0,,,2656,,2832.0,,1449.0,2071.0,,1609.0,2528.0
,,,,,,2069.0,2541.0,2481.0,,2089.0,2379.0,,,,2543.0,2850.0,,,1763.0,,,2667,,2843.0,,1460.0,2082.0,,,2539.0
,,,,,,2163.0,2552.0,2492.0,,2100.0,2390.0,,,,2554.0,2861.0,,,,,,2678,,2854.0,,1471.0,2093.0,,,
,,,,,,2175.0,2645.0,2503.0,,2324.0,2401.0,,,,,,,,,,,2689,,,,1482.0,2189.0,,,
,,,,,,,2656.0,2516.0,,,,,,,,,,,,,,2700,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2711,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2722,,,,,,,,
