G13,G20,G19,G12,G29,G27,G01,G30,G08,G06,G26,G05,G25,G16,G07,G24,G22,G04,G03,G32,G02,G14,G10,G11,G17,G09,G15,G31,G23,G18,G21
13530.0,3000.0,2700.0,3030.0,14700.0,29850.0,45600.0,4800.0,35820.0,22500.0,44400.0,5790.0,,26610.0,930,24030.0,28980.0,30240.0,,26760.0,12930.0,9330.0,16410.0,14280.0,120.0,57150.0,15600.0,36030.0,15090.0,2790.0,
13560.0,3930.0,17700.0,,,54780.0,49350.0,5520.0,59160.0,60570.0,,30870.0,,49140.0,38370,,29550.0,54270.0,,27390.0,28530.0,59310.0,34620.0,27810.0,14550.0,,16830.0,37530.0,32190.0,23580.0,
,25740.0,71460.0,,,,62100.0,5580.0,,78570.0,,34470.0,,,41940,,29880.0,73770.0,,43530.0,82980.0,77400.0,52590.0,82800.0,69540.0,,41880.0,,48420.0,41880.0,
,30870.0,,,,,,69480.0,,,,73590.0,,,45690,,45840.0,74340.0,,,,,,,,,42210.0,,,43110.0,
,70080.0,,,,,,,,,,83490.0,,,66480,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,85680,,,,,,,,,,,,,,,,
