G27,G22,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G18,G30,G10,G31,G04,G23,G11
52890.0,,10860.0,,5160.0,43200.0,,,,,54870.0,75870.0,,14430.0,56850.0,70470.0,58890.0,,,,17190.0,4470,,,25410.0,,,,56730.0,14100.0,81330.0
52980.0,,11040.0,,5220.0,43260.0,,,,,55470.0,76170.0,,14640.0,57000.0,76320.0,59010.0,,,,17340.0,4590,,,25620.0,,,,56850.0,14190.0,81990.0
53040.0,,11070.0,,5250.0,43410.0,,,,,55530.0,76230.0,,14730.0,57090.0,,59070.0,,,,17430.0,4650,,,25710.0,,,,56970.0,14400.0,82020.0
53070.0,,11160.0,,5370.0,43500.0,,,,,56070.0,76260.0,,14790.0,57300.0,,59220.0,,,,17490.0,4800,,,25770.0,,,,57030.0,14490.0,82530.0
53160.0,,11220.0,,5460.0,43800.0,,,,,64770.0,76320.0,,15030.0,57390.0,,59310.0,,,,17730.0,4890,,,25920.0,,,,57180.0,14550.0,82830.0
53190.0,,11940.0,,5520.0,43860.0,,,,,65070.0,76470.0,,15090.0,57600.0,,76320.0,,,,17940.0,4950,,,26010.0,,,,57270.0,14790.0,
53370.0,,11970.0,,5670.0,44010.0,,,,,65370.0,76680.0,,15240.0,57690.0,,76800.0,,,,18030.0,5070,,,26070.0,,,,57480.0,15000.0,
53430.0,,12120.0,,5760.0,44100.0,,,,,65430.0,76770.0,,15330.0,57750.0,,77100.0,,,,18330.0,5100,,,26190.0,,,,57570.0,15090.0,
53520.0,,29970.0,,5970.0,44310.0,,,,,65460.0,77070.0,,15630.0,57870.0,,77700.0,,,,18630.0,5190,,,26310.0,,,,57870.0,30720.0,
53580.0,,31470.0,,6060.0,44400.0,,,,,65670.0,77370.0,,15720.0,57900.0,,78000.0,,,,18930.0,5250,,,26610.0,,,,57930.0,31020.0,
53670.0,,32820.0,,6360.0,44580.0,,,,,65970.0,77430.0,,16230.0,57990.0,,78300.0,,,,20130.0,5400,,,26910.0,,,,58080.0,31320.0,
53790.0,,32970.0,,6570.0,44700.0,,,,,66360.0,77580.0,,16530.0,58080.0,,78360.0,,,,28230.0,5490,,,27510.0,,,,58170.0,31530.0,
53880.0,,33240.0,,6660.0,44760.0,,,,,66480.0,77670.0,,16590.0,58200.0,,78390.0,,,,28290.0,5550,,,28110.0,,,,58980.0,31620.0,
53940.0,,33570.0,,6750.0,44910.0,,,,,66570.0,77730.0,,16740.0,58290.0,,78510.0,,,,28530.0,5790,,,28200.0,,,,59070.0,31920.0,
54090.0,,34170.0,,6960.0,45000.0,,,,,66870.0,77970.0,,16830.0,58590.0,,78540.0,,,,30090.0,6090,,,37110.0,,,,59370.0,31980.0,
54180.0,,,,7020.0,45060.0,,,,,67170.0,78270.0,,41820.0,58890.0,,78600.0,,,,38280.0,6390,,,37410.0,,,,67470.0,32130.0,
54480.0,,,,7260.0,45090.0,,,,,67230.0,78570.0,,41880.0,58980.0,,78810.0,,,,,6900,,,37590.0,,,,67770.0,32220.0,
54780.0,,,,7560.0,45210.0,,,,,67380.0,78630.0,,41940.0,59190.0,,78900.0,,,,,6990,,,39510.0,,,,67950.0,32520.0,
54870.0,,,,7740.0,45300.0,,,,,67470.0,78870.0,,42210.0,59400.0,,78960.0,,,,,7200,,,43110.0,,,,68970.0,32580.0,
54990.0,,,,8160.0,,,,,,67530.0,79170.0,,,59490.0,,79200.0,,,,,25740,,,,,,,70470.0,32730.0,
,,,,9420.0,,,,,,67770.0,79230.0,,,59550.0,,79380.0,,,,,25800,,,,,,,70560.0,32820.0,
,,,,16560.0,,,,,,67830.0,79470.0,,,,,79410.0,,,,,25830,,,,,,,76020.0,33120.0,
,,,,,,,,,,67950.0,,,,,,79500.0,,,,,25920,,,,,,,,33420.0,
,,,,,,,,,,68070.0,,,,,,79710.0,,,,,25950,,,,,,,,33720.0,
,,,,,,,,,,68370.0,,,,,,80100.0,,,,,26040,,,,,,,,33930.0,
