G27,G08,G07,G26,G21,G10,G18,G31,G16,G23
18.0,19.0,18.0,18.0,19.0,18.0,18,19.0,18.0,18.0
46.0,45.0,46.0,46.0,46.0,46.0,46,46.0,46.0,46.0
73.0,69.0,73.0,73.0,73.0,73.0,73,72.0,73.0,73.0
108.0,100.0,109.0,108.0,110.0,107.0,108,104.0,109.0,108.0
134.0,140.0,138.0,134.0,147.0,132.0,133,155.0,138.0,134.0
158.0,163.0,161.0,158.0,171.0,155.0,157,185.0,162.0,158.0
182.0,193.0,186.0,182.0,198.0,184.0,183,209.0,189.0,183.0
210.0,227.0,242.0,210.0,238.0,206.0,205,234.0,214.0,205.0
236.0,252.0,273.0,236.0,260.0,243.0,236,260.0,239.0,237.0
260.0,276.0,298.0,260.0,284.0,277.0,260,284.0,262.0,259.0
283.0,302.0,328.0,283.0,310.0,307.0,283,309.0,285.0,283.0
307.0,341.0,357.0,308.0,351.0,334.0,308,352.0,313.0,307.0
334.0,369.0,387.0,339.0,386.0,366.0,340,378.0,343.0,334.0
365.0,397.0,,380.0,419.0,395.0,382,,369.0,365.0
399.0,424.0,,404.0,449.0,421.0,418,,398.0,399.0
424.0,459.0,,434.0,476.0,473.0,452,,423.0,424.0
462.0,508.0,,472.0,506.0,499.0,479,,476.0,462.0
498.0,537.0,,497.0,538.0,536.0,504,,504.0,499.0
536.0,564.0,,530.0,561.0,560.0,528,,528.0,535.0
561.0,587.0,,581.0,592.0,585.0,553,,553.0,560.0
593.0,611.0,,605.0,624.0,611.0,601,,603.0,614.0
620.0,635.0,,633.0,661.0,635.0,630,,634.0,638.0
643.0,672.0,,675.0,699.0,672.0,655,,674.0,663.0
680.0,705.0,,707.0,734.0,702.0,680,,705.0,722.0
718.0,729.0,,739.0,761.0,740.0,718,,729.0,749.0
740.0,755.0,,763.0,784.0,764.0,740,,754.0,775.0
764.0,797.0,,798.0,808.0,794.0,764,,780.0,819.0
794.0,855.0,,837.0,848.0,822.0,794,,808.0,854.0
822.0,890.0,,863.0,882.0,847.0,822,,852.0,924.0
848.0,921.0,,888.0,906.0,876.0,848,,966.0,951.0
882.0,948.0,,921.0,930.0,910.0,881,,995.0,978.0
906.0,977.0,,948.0,964.0,938.0,905,,1020.0,1002.0
930.0,1003.0,,976.0,999.0,964.0,930,,1050.0,1026.0
963.0,1036.0,,1008.0,1025.0,999.0,963,,1074.0,1075.0
1000.0,1091.0,,1038.0,1081.0,1025.0,999,,1104.0,1112.0
1024.0,1121.0,,1068.0,1105.0,1065.0,1025,,1135.0,1146.0
1067.0,1158.0,,1100.0,1132.0,1092.0,1080,,1165.0,1174.0
1096.0,1205.0,,1124.0,1157.0,1131.0,1105,,1210.0,1237.0
1136.0,1236.0,,1145.0,1186.0,1166.0,1132,,1253.0,1265.0
1209.0,1269.0,,1169.0,1213.0,1210.0,1157,,1275.0,1293.0
1238.0,1297.0,,1206.0,1241.0,1251.0,1186,,1305.0,1319.0
1263.0,1322.0,,1241.0,1274.0,1278.0,1213,,1336.0,1345.0
1289.0,1354.0,,1273.0,1311.0,1304.0,1242,,1369.0,1373.0
1328.0,1391.0,,1312.0,1342.0,1332.0,1290,,1410.0,1402.0
1370.0,1418.0,,1350.0,1367.0,1361.0,1325,,1485.0,1430.0
1404.0,1447.0,,1376.0,1390.0,1409.0,1352,,1516.0,1463.0
1443.0,1470.0,,1413.0,1422.0,1443.0,1377,,1546.0,1507.0
1469.0,1502.0,,1464.0,1465.0,1468.0,1420,,1574.0,1545.0
1589.0,1530.0,,1496.0,1492.0,1494.0,1442,,1613.0,1570.0
1616.0,1571.0,,1555.0,1525.0,1524.0,1468,,1642.0,1597.0
1644.0,1596.0,,1583.0,1556.0,1550.0,1495,,1682.0,1622.0
1675.0,1624.0,,1623.0,1583.0,1575.0,1532,,1712.0,1649.0
1701.0,1714.0,,1654.0,1623.0,1606.0,1561,,1740.0,1682.0
1725.0,1755.0,,1679.0,1654.0,1644.0,1590,,1787.0,1712.0
