G16,G22,G23,G19,G10,G05,G29,G08,G09,G25,G06,G30,G01,G17,G02,G26,G31,G04,G32,G14,G21,G24,G07,G03,G27,G13,G20,G11,G18,G15,G12
2160.0,13950.0,55080.0,26280.0,5760.0,24210.0,32040.0,11730.0,34140.0,,10770.0,1350.0,5730.0,23190.0,39420.0,,13230.0,24600.0,9960.0,13830.0,17040.0,36690.0,930,20010.0,6930.0,51240.0,42780.0,36720.0,44760.0,30420.0,42090.0
65250.0,52830.0,,,55110.0,46890.0,53490.0,,73650.0,,33330.0,2100.0,6810.0,23670.0,41190.0,,77130.0,26820.0,67110.0,,17160.0,36720.0,37680,23580.0,,51300.0,,36750.0,81180.0,,42180.0
,52920.0,,,55410.0,68310.0,53520.0,,,,54990.0,42600.0,14460.0,23760.0,75780.0,,77190.0,66750.0,,,,36960.0,77220,85710.0,,,,37110.0,81210.0,,42210.0
,68970.0,,,56100.0,,,,,,56610.0,82440.0,16290.0,42180.0,,,,,,,,,84720,85830.0,,,,,,,
,69750.0,,,,,,,,,59250.0,,20130.0,,,,,,,,,,84750,86280.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,85410,,,,,,,,
