5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
5280.0,5160.0,5070,4950,4830,4710,4590,4470,4350,4230,4110,3990,3870,3780,3660,3540,3420,3300.0,3180.0
13500.0,13230.0,5550,5580,5610,5640,5670,5700,5730,5760,5790,5820,5850,5910,5940,5970,6000,6030.0,6060.0
13680.0,13620.0,13320,13080,12810,12630,12480,12330,12180,12030,11880,11730,11580,11430,11280,11130,10980,10830.0,10680.0
38100.0,37980.0,37860,37740,37650,37530,37410,37290,37170,37050,36930,36810,36690,36570,36450,36330,36210,36090.0,35970.0
44970.0,44820.0,38340,38370,38430,38460,38490,38520,38550,38580,38610,38640,38670,38700,38730,38760,38790,38820.0,38850.0
,,44670,44550,44400,44250,44100,43950,43800,43650,43500,43350,43200,43050,42900,42750,42600,,
