G23,G16,G22,G29,G21,G28,G01,G27,G14,G12,G03,G11,G30,G18,G19,G17,G10,G13,G24,G20,G06,G09,G26,G32,G02,G31,G08,G05,G04,G25,G07,G15
25380.0,52080.0,,12990.0,61830.0,40260.0,5430.0,54330.0,15780,28860.0,3030.0,4590.0,7890.0,20730.0,3030.0,3030.0,29970.0,12900.0,23580.0,7500.0,3030.0,3030.0,46800.0,35640.0,14580.0,41610.0,59700.0,12000.0,3030.0,32640.0,3960.0,18120.0
25650.0,52350.0,,13260.0,61860.0,40530.0,64980.0,54600.0,15810,28890.0,3300.0,4620.0,8160.0,21000.0,3300.0,3300.0,30240.0,13170.0,23610.0,7770.0,3300.0,3300.0,46830.0,35910.0,14850.0,41880.0,59970.0,12270.0,3300.0,32910.0,3990.0,18150.0
25680.0,52380.0,,13290.0,62130.0,40560.0,65250.0,54630.0,16080,29160.0,3330.0,4890.0,8190.0,21030.0,3330.0,3330.0,30270.0,13200.0,23880.0,7800.0,3330.0,3330.0,47100.0,35940.0,14880.0,41910.0,60000.0,12300.0,3330.0,32940.0,4260.0,18420.0
25950.0,52650.0,,13560.0,62160.0,40830.0,65280.0,54900.0,16110,29190.0,3600.0,4920.0,8460.0,21300.0,3600.0,3600.0,30540.0,13470.0,23910.0,8070.0,3600.0,3600.0,47130.0,36210.0,15150.0,42180.0,60270.0,12570.0,3600.0,33210.0,4290.0,18450.0
25980.0,52680.0,,13590.0,62430.0,40860.0,65550.0,54930.0,16380,29460.0,3630.0,5190.0,8490.0,21330.0,3630.0,3630.0,30570.0,13500.0,24180.0,8100.0,3630.0,3630.0,47400.0,36240.0,15180.0,42210.0,60300.0,12600.0,3630.0,33240.0,4560.0,18720.0
26250.0,52950.0,,13860.0,62460.0,41130.0,65580.0,55200.0,16410,29490.0,3900.0,5220.0,8760.0,21600.0,3900.0,3900.0,30840.0,13770.0,24210.0,8370.0,3900.0,3900.0,47430.0,36510.0,15450.0,42480.0,60570.0,12870.0,3900.0,33510.0,4590.0,18750.0
26280.0,52980.0,,13890.0,62730.0,41160.0,65850.0,55230.0,16680,29760.0,3930.0,5490.0,8790.0,21630.0,3930.0,3930.0,30870.0,13800.0,24480.0,8400.0,3930.0,3930.0,47700.0,36540.0,15480.0,42510.0,60600.0,12900.0,3930.0,33540.0,4860.0,19020.0
26550.0,53250.0,,14160.0,62760.0,41430.0,65880.0,55500.0,16710,29790.0,4200.0,5520.0,9060.0,21900.0,4200.0,4200.0,31140.0,14070.0,24510.0,8670.0,4200.0,4200.0,47730.0,36810.0,15750.0,42780.0,60870.0,13170.0,4200.0,33810.0,4890.0,19050.0
26580.0,53280.0,,14190.0,63030.0,41460.0,66150.0,55530.0,16980,30060.0,4230.0,5790.0,9090.0,21930.0,4230.0,4230.0,31170.0,14100.0,24780.0,8700.0,4230.0,4230.0,48000.0,36840.0,15780.0,42810.0,60900.0,13200.0,4230.0,33840.0,5160.0,19320.0
26850.0,53550.0,,35700.0,63060.0,41730.0,66180.0,55800.0,17010,30090.0,4500.0,5820.0,9360.0,22200.0,4500.0,4500.0,31440.0,14370.0,24810.0,8970.0,4500.0,4500.0,48030.0,37110.0,16050.0,43080.0,61170.0,13470.0,4500.0,34110.0,5190.0,19350.0
26880.0,53580.0,,35970.0,63330.0,41760.0,66450.0,55830.0,17280,30360.0,4530.0,6090.0,9390.0,22230.0,4530.0,4530.0,31650.0,14400.0,25080.0,9000.0,4530.0,4530.0,48300.0,37140.0,16080.0,43110.0,61200.0,13500.0,4530.0,34140.0,5460.0,19620.0
27150.0,53850.0,,36000.0,63360.0,42030.0,66480.0,56100.0,17310,30390.0,4800.0,6120.0,9660.0,22500.0,4800.0,4800.0,32430.0,14670.0,25110.0,9270.0,4800.0,4800.0,48330.0,37410.0,16350.0,43380.0,61470.0,13770.0,4800.0,34410.0,5490.0,19650.0
27180.0,53880.0,,36270.0,63630.0,42060.0,66750.0,56130.0,17580,30660.0,4830.0,6390.0,9690.0,22530.0,4830.0,4830.0,32700.0,14700.0,25380.0,9300.0,4830.0,4830.0,48600.0,37440.0,16380.0,43410.0,61500.0,13800.0,4830.0,34440.0,5760.0,19920.0
27450.0,54150.0,,36300.0,63660.0,42330.0,66780.0,56400.0,17610,30690.0,5100.0,6420.0,9960.0,22800.0,5100.0,5100.0,32730.0,14970.0,25410.0,9570.0,5100.0,5100.0,48630.0,37710.0,16650.0,43680.0,61770.0,14070.0,5100.0,34710.0,5790.0,19950.0
27480.0,54180.0,,36570.0,63930.0,42360.0,67050.0,56430.0,17880,30960.0,5130.0,6690.0,9990.0,22830.0,5130.0,5130.0,33000.0,15000.0,25680.0,9600.0,5130.0,5130.0,48900.0,37740.0,16680.0,43710.0,61800.0,14100.0,5130.0,34740.0,6060.0,20220.0
27750.0,54450.0,,36600.0,63960.0,42630.0,67080.0,56700.0,17910,30990.0,5400.0,6720.0,10260.0,23100.0,5400.0,5400.0,33030.0,15270.0,25710.0,9870.0,5400.0,5400.0,48930.0,38010.0,16950.0,43980.0,62070.0,14370.0,5400.0,35010.0,6090.0,20250.0
27780.0,54480.0,,36870.0,64230.0,42660.0,67350.0,56730.0,18180,31260.0,5430.0,6990.0,10290.0,23130.0,5430.0,5430.0,33300.0,15300.0,25980.0,9900.0,5430.0,5430.0,49200.0,38040.0,16980.0,44010.0,62100.0,14400.0,5430.0,35040.0,6360.0,20520.0
28050.0,54750.0,,36900.0,64260.0,42930.0,67380.0,57000.0,18210,31290.0,5700.0,7020.0,10560.0,23400.0,5700.0,5700.0,33330.0,15570.0,26010.0,10170.0,5700.0,5700.0,49230.0,38310.0,17250.0,44280.0,62370.0,14670.0,5700.0,35310.0,6390.0,20550.0
