G23,G16,G26,G21,G31,G27,G08,G18,G10,G07
1220,1220,1221.0,1260.0,,1241.0,1241.0,1260.0,1240.0,
1221,1221,1240.0,1261.0,,1260.0,1260.0,1261.0,1241.0,
1240,1240,1241.0,1280.0,,1261.0,1261.0,1280.0,1260.0,
1241,1241,1260.0,1281.0,,1280.0,1280.0,1281.0,1261.0,
1260,1260,1261.0,1300.0,,1281.0,1281.0,1300.0,1280.0,
1261,1261,1280.0,1301.0,,1300.0,1300.0,1301.0,1281.0,
1280,1280,1281.0,1320.0,,1301.0,1301.0,1320.0,1300.0,
1281,1281,1300.0,1321.0,,1320.0,1320.0,1321.0,1301.0,
1300,1300,1301.0,1340.0,,1321.0,1321.0,1340.0,1320.0,
1301,1301,1320.0,1341.0,,1340.0,1340.0,1341.0,1321.0,
1320,1320,1321.0,1360.0,,1341.0,1341.0,1360.0,1340.0,
1321,1321,1340.0,1361.0,,1360.0,1360.0,1361.0,1341.0,
1340,1340,1341.0,1380.0,,1361.0,1361.0,1380.0,1360.0,
1341,1341,1360.0,1381.0,,1380.0,1380.0,1381.0,1361.0,
1360,1360,1361.0,1400.0,,1381.0,1381.0,1400.0,1380.0,
1361,1361,1380.0,1401.0,,1400.0,1400.0,1401.0,1381.0,
1380,1380,1381.0,1420.0,,1401.0,1401.0,1420.0,1400.0,
1381,1381,1400.0,1421.0,,1420.0,1420.0,1421.0,1401.0,
1400,1400,1401.0,1440.0,,1421.0,1421.0,1440.0,1420.0,
1401,1401,1420.0,1441.0,,1440.0,1440.0,1441.0,1421.0,
1420,1420,1421.0,1460.0,,1441.0,1441.0,1460.0,1440.0,
1421,1421,1440.0,1461.0,,1460.0,1460.0,1461.0,1441.0,
1440,1440,1441.0,1480.0,,1461.0,1461.0,1480.0,1460.0,
1441,1441,1460.0,1481.0,,1480.0,1480.0,1481.0,1461.0,
1460,1460,1461.0,1500.0,,1481.0,1481.0,1500.0,1480.0,
1461,1461,1480.0,1501.0,,1500.0,1500.0,1501.0,1481.0,
1480,1480,1481.0,1520.0,,1501.0,1501.0,1520.0,1500.0,
1481,1481,1500.0,1521.0,,1520.0,1520.0,1521.0,1501.0,
1500,1500,1501.0,1540.0,,1521.0,1521.0,1540.0,1520.0,
1501,1501,1520.0,1541.0,,1540.0,1540.0,1541.0,1521.0,
1520,1520,1521.0,1560.0,,1541.0,1541.0,1560.0,1540.0,
1521,1521,1540.0,1561.0,,1560.0,1560.0,1561.0,1541.0,
1540,1540,1541.0,1580.0,,1561.0,1561.0,1580.0,1560.0,
1541,1541,1560.0,1581.0,,1580.0,1580.0,1581.0,1561.0,
1560,1560,1561.0,1600.0,,1581.0,1581.0,1600.0,1580.0,
