5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
5280.0,5130.0,4920.0,4710.0,4500,4290.0,4080.0,3870.0,3630.0,3420.0,3210.0,3000.0,2820.0,2610.0,2400.0,2220.0,2010.0,1830.0,1650.0
5460.0,5460.0,5400.0,5340.0,5280,5220.0,5160.0,5100.0,5010.0,4950.0,4890.0,4830.0,4800.0,4740.0,4680.0,4650.0,4590.0,4560.0,4530.0
12600.0,5790.0,5880.0,5970.0,6060,6150.0,6240.0,6330.0,6390.0,6480.0,6570.0,6660.0,6780.0,6870.0,6960.0,7080.0,7170.0,7290.0,7410.0
13080.0,12360.0,6360.0,6600.0,6840,7080.0,7320.0,7560.0,7770.0,8010.0,8250.0,8490.0,8760.0,9000.0,9240.0,9510.0,10980.0,10830.0,10680.0
13500.0,13170.0,12120.0,11910.0,11670,11460.0,11220.0,10980.0,10770.0,10530.0,10230.0,10320.0,10740.0,11430.0,11520.0,11940.0,34920.0,34740.0,34560.0
13680.0,13560.0,12930.0,12930.0,12810,12630.0,12480.0,12330.0,12180.0,12060.0,11910.0,12150.0,12720.0,35460.0,35280.0,35100.0,37500.0,37470.0,37440.0
30240.0,37950.0,13560.0,13830.0,30330,37110.0,36900.0,36690.0,36480.0,36270.0,36060.0,35880.0,35670.0,37590.0,37560.0,37530.0,40080.0,40200.0,40320.0
38100.0,38280.0,37740.0,37530.0,37320,38040.0,37980.0,37920.0,37860.0,37800.0,37740.0,37710.0,37650.0,39720.0,39840.0,39960.0,42660.0,,
38280.0,38610.0,38220.0,38160.0,38100,38970.0,39060.0,39150.0,39240.0,39330.0,39420.0,39540.0,39630.0,42960.0,42810.0,42660.0,,,
44940.0,44790.0,38700.0,38790.0,38880,39900.0,40140.0,40380.0,40620.0,40860.0,41100.0,41370.0,41610.0,,,,,,
,,39180.0,39420.0,39660,40830.0,44010.0,43860.0,43710.0,43560.0,43410.0,43260.0,43590.0,,,,,,
,,44640.0,44460.0,40440,44160.0,45090.0,45090.0,,,,,,,,,,,
,,,45090.0,44310,45090.0,,,,,,,,,,,,,
,,,,45090,,,,,,,,,,,,,,
