5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
5280,5130.0,4980.0,4830.0,4680.0,4530.0,4350.0,4230.0,4050.0,3900.0,3750.0,3600.0,3480.0,3300.0,3180.0,3000.0,2880.0,2730.0,2580.0
5460,5460.0,5460.0,5460.0,5460.0,5460.0,5430.0,5460.0,5430.0,5430.0,5430.0,5430.0,5460.0,5430.0,5460.0,5430.0,5460.0,5460.0,5460.0
12600,12450.0,13140.0,12180.0,12030.0,11850.0,12480.0,12330.0,12180.0,12030.0,11880.0,11730.0,11580.0,11430.0,11280.0,11130.0,10980.0,10830.0,10680.0
13080,13200.0,13680.0,13080.0,12840.0,12810.0,37170.0,37050.0,36870.0,36750.0,36570.0,36420.0,36300.0,36150.0,36000.0,35850.0,35700.0,35580.0,35430.0
13500,13590.0,37800.0,37650.0,37500.0,37350.0,38250.0,38280.0,38250.0,38280.0,38250.0,38250.0,38280.0,38280.0,38280.0,38280.0,38280.0,38310.0,38310.0
13680,37920.0,38280.0,38280.0,38280.0,38280.0,44100.0,43950.0,43800.0,43650.0,43500.0,43350.0,43200.0,43050.0,42900.0,42750.0,42600.0,,
30240,38250.0,44670.0,44520.0,44370.0,44250.0,,,,,,,,,,,,,
38100,44790.0,,,,,,,,,,,,,,,,,
38280,,,,,,,,,,,,,,,,,,
44940,,,,,,,,,,,,,,,,,,
