G27,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G30,G18,G31,G04,G10,G23,G11
82110.0,,22830.0,30780.0,48750.0,630.0,29160.0,75690.0,11430.0,10230.0,20250,13470.0,42480.0,630.0,7200.0,930.0,,,53670.0,41520.0,14730.0,9750.0,6930.0,10620.0,30840.0,6360.0,16110.0,35700,41850.0,24060.0
,,23160.0,,,6990.0,51180.0,,74850.0,11430.0,21240,30600.0,,85950.0,25530.0,19080.0,,,54270.0,63090.0,33600.0,11190.0,,,31500.0,63600.0,16590.0,36030,42450.0,24990.0
,,85740.0,,,9870.0,54720.0,,75180.0,40710.0,42330,45000.0,,,26730.0,35910.0,,,,64140.0,34830.0,30390.0,,,50550.0,65130.0,17100.0,44250,59670.0,
,,,,,75480.0,57750.0,,,40740.0,42660,,,,65370.0,,,,,,62220.0,31350.0,,,70110.0,,82140.0,62610,,
,,,,,,64110.0,,,,44010,,,,,,,,,,,56100.0,,,,,,79740,,
,,,,,,,,,,48840,,,,,,,,,,,,,,,,,80310,,
