G10,G27,G08,G26,G31,G16,G23,G18,G07,G21
8,11.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0
17,28.0,17.0,17.0,28.0,37.0,37.0,37.0,17.0,31.0
37,37.0,37.0,37.0,35.0,48.0,55.0,48.0,37.0,48.0
48,48.0,48.0,48.0,46.0,66.0,66.0,66.0,48.0,66.0
66,66.0,60.0,66.0,66.0,79.0,79.0,79.0,66.0,85.0
79,79.0,79.0,79.0,82.0,104.0,104.0,104.0,79.0,94.0
104,104.0,104.0,104.0,104.0,121.0,112.0,121.0,121.0,117.0
112,121.0,112.0,112.0,117.0,143.0,121.0,143.0,143.0,178.0
121,143.0,121.0,121.0,132.0,165.0,136.0,165.0,165.0,192.0
143,165.0,151.0,143.0,143.0,178.0,143.0,193.0,186.0,203.0
165,178.0,165.0,165.0,180.0,192.0,165.0,214.0,203.0,231.0
180,192.0,178.0,178.0,189.0,203.0,178.0,231.0,231.0,241.0
200,231.0,193.0,192.0,210.0,231.0,192.0,241.0,241.0,253.0
231,241.0,208.0,214.0,231.0,241.0,203.0,253.0,253.0,279.0
241,253.0,225.0,231.0,241.0,253.0,231.0,256.0,256.0,317.0
253,256.0,241.0,241.0,245.0,256.0,241.0,279.0,276.0,327.0
256,279.0,253.0,253.0,282.0,279.0,253.0,317.0,299.0,333.0
279,317.0,256.0,256.0,299.0,317.0,256.0,327.0,327.0,341.0
304,343.0,317.0,279.0,315.0,327.0,279.0,343.0,343.0,354.0
327,354.0,343.0,314.0,326.0,343.0,314.0,354.0,354.0,362.0
343,369.0,354.0,327.0,335.0,354.0,327.0,374.0,378.0,378.0
354,378.0,369.0,343.0,367.0,369.0,343.0,395.0,,395.0
359,395.0,395.0,354.0,378.0,378.0,354.0,412.0,,418.0
374,426.0,426.0,369.0,394.0,395.0,378.0,426.0,,444.0
395,444.0,449.0,378.0,,426.0,395.0,444.0,,452.0
426,459.0,459.0,395.0,,444.0,412.0,459.0,,466.0
444,466.0,466.0,412.0,,459.0,426.0,466.0,,480.0
452,480.0,480.0,426.0,,466.0,444.0,480.0,,493.0
466,486.0,486.0,444.0,,480.0,459.0,486.0,,504.0
480,504.0,504.0,459.0,,486.0,466.0,504.0,,511.0
486,521.0,521.0,466.0,,494.0,480.0,521.0,,528.0
494,539.0,539.0,480.0,,521.0,486.0,539.0,,539.0
