G27,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G30,G18,G31,G04,G10,G23,G11
66180.0,45270.0,9630.0,40380.0,58410.0,,26730.0,62490.0,9600.0,9600.0,10980.0,9600.0,29280.0,70650.0,15030.0,25680,34920.0,24570.0,47340.0,50520.0,24330.0,18990.0,68520.0,19320.0,52110.0,49230.0,9600.0,61710.0,37260.0,16260.0
66210.0,45300.0,9900.0,40650.0,58680.0,,27690.0,62760.0,9630.0,9630.0,11250.0,9630.0,29310.0,70680.0,15300.0,25710,35190.0,24840.0,47370.0,50790.0,24600.0,19020.0,68790.0,19590.0,52140.0,49500.0,9630.0,61740.0,37290.0,16290.0
66480.0,45570.0,9930.0,40680.0,58710.0,,27900.0,62790.0,9900.0,9900.0,11280.0,9900.0,29580.0,70950.0,15330.0,25980,35220.0,24870.0,47640.0,50820.0,24630.0,19290.0,68820.0,19620.0,52410.0,49530.0,9900.0,62010.0,37560.0,16560.0
66510.0,45600.0,10200.0,40950.0,58980.0,,28170.0,63060.0,9930.0,9930.0,11550.0,9930.0,29610.0,70980.0,15600.0,26010,35490.0,25140.0,47670.0,51090.0,24900.0,19320.0,69090.0,19890.0,52440.0,49800.0,9930.0,62040.0,37590.0,16590.0
66780.0,45870.0,10230.0,40980.0,59010.0,,28410.0,63090.0,10200.0,10200.0,11580.0,10200.0,29880.0,71250.0,15630.0,26280,35520.0,25170.0,47940.0,51120.0,24930.0,19590.0,69120.0,19920.0,52710.0,49830.0,10200.0,62310.0,37860.0,16860.0
66810.0,45900.0,10500.0,41250.0,59280.0,,28470.0,63360.0,10230.0,10230.0,11850.0,10230.0,29910.0,71280.0,15900.0,26310,35790.0,25440.0,47970.0,51390.0,25200.0,19620.0,69390.0,20190.0,52740.0,50100.0,10230.0,62610.0,37890.0,16890.0
67080.0,46170.0,10530.0,41280.0,59310.0,,28530.0,63390.0,10500.0,10530.0,11880.0,10500.0,30180.0,71550.0,15930.0,26580,35820.0,25470.0,48240.0,51420.0,25230.0,19890.0,69420.0,20220.0,53010.0,50130.0,10500.0,62640.0,38160.0,17160.0
67110.0,46200.0,10800.0,41550.0,59580.0,,28800.0,63660.0,10530.0,10800.0,12150.0,10530.0,30210.0,71580.0,16200.0,26610,36090.0,25740.0,48270.0,51690.0,25500.0,19920.0,69690.0,20490.0,53040.0,50400.0,10530.0,62910.0,38190.0,17190.0
67380.0,46470.0,10830.0,41580.0,59610.0,,28950.0,63690.0,10800.0,10830.0,12180.0,10800.0,30480.0,71850.0,16230.0,26880,36120.0,25770.0,48540.0,51720.0,25530.0,20190.0,69720.0,20520.0,53310.0,50430.0,10800.0,62940.0,38460.0,17460.0
67410.0,46500.0,11100.0,41850.0,59880.0,,29160.0,63960.0,10830.0,11100.0,12450.0,10830.0,30510.0,71880.0,16500.0,26910,36390.0,26040.0,48570.0,51990.0,25800.0,20220.0,69990.0,20790.0,53340.0,50700.0,10830.0,63210.0,38490.0,17490.0
67680.0,46770.0,11130.0,41880.0,59910.0,,48810.0,63990.0,11100.0,11130.0,12480.0,11100.0,30780.0,72150.0,16530.0,27180,36420.0,26070.0,48840.0,52020.0,25830.0,20490.0,70020.0,20820.0,53610.0,50730.0,11100.0,63240.0,38760.0,17760.0
67710.0,46800.0,11400.0,42150.0,60180.0,,49080.0,64260.0,11130.0,11400.0,12750.0,11130.0,30810.0,72180.0,16800.0,27210,36690.0,26340.0,48870.0,52290.0,26100.0,20520.0,70290.0,21090.0,53640.0,51000.0,11130.0,63510.0,38790.0,17790.0
67980.0,47070.0,11430.0,42180.0,60210.0,,49110.0,64290.0,11400.0,11430.0,12780.0,11400.0,31080.0,72450.0,16830.0,27480,36720.0,26370.0,49140.0,52320.0,26130.0,20790.0,70320.0,21120.0,53910.0,51030.0,11400.0,63540.0,39060.0,18060.0
