G27,G08,G28,G07,G26,G02,G21,G10,G18,G31,G16,G23
1079,1089.0,,,1079,,3430.0,1079,1079,1080.0,1079,1079
1090,1100.0,,,1090,,3441.0,1090,1090,1657.0,1090,1090
1101,1111.0,,,1101,,3452.0,1101,1101,1668.0,1101,1101
1112,1122.0,,,1112,,3463.0,1112,1112,1679.0,1112,1112
1123,1133.0,,,1123,,3474.0,1123,1123,1690.0,1123,1123
1134,1146.0,,,1134,,3485.0,1134,1134,1701.0,1134,1134
1145,1157.0,,,1145,,3496.0,1145,1145,1712.0,1145,1145
1156,1168.0,,,1156,,3507.0,1156,1156,1723.0,1156,1156
1167,1180.0,,,1167,,3518.0,1167,1167,1734.0,1167,1167
1178,1191.0,,,1178,,3529.0,1178,1178,1745.0,1178,1178
1189,1202.0,,,1189,,3540.0,1189,1189,1756.0,1189,1189
1200,1213.0,,,1200,,3551.0,1200,1200,1767.0,1200,1200
1211,1224.0,,,1211,,3562.0,1211,1211,1778.0,1211,1211
1222,1235.0,,,1222,,3573.0,1222,1222,1789.0,1222,1222
1233,1246.0,,,1233,,,1233,1233,1800.0,1233,1233
1244,1257.0,,,1244,,,1244,1244,1811.0,1244,1244
1255,1269.0,,,1255,,,1255,1255,1822.0,1255,1255
1266,1280.0,,,1266,,,1266,1266,1833.0,1266,1266
1277,1291.0,,,1277,,,1277,1277,1844.0,1277,1277
1288,1302.0,,,1288,,,1288,1288,1855.0,1288,1288
1299,1313.0,,,1299,,,1299,1299,1866.0,1299,1299
1310,1324.0,,,1310,,,1310,1310,1877.0,1310,1310
1321,1335.0,,,1321,,,1321,1321,1888.0,1321,1321
1332,1346.0,,,1332,,,1332,1332,1899.0,1332,1332
1343,1357.0,,,1343,,,1343,1343,1910.0,1343,1343
1354,1368.0,,,1354,,,1354,1354,1921.0,1354,1354
1365,1379.0,,,1365,,,1365,1365,1932.0,1365,1365
1376,1392.0,,,1376,,,1376,1376,1943.0,1376,1376
1387,1406.0,,,1387,,,1387,1387,1954.0,1387,1387
1398,1417.0,,,1398,,,1398,1398,1965.0,1398,1398
1409,1428.0,,,1409,,,1409,1409,1976.0,1409,1409
1420,1439.0,,,1420,,,1420,1420,1987.0,1420,1420
1431,1450.0,,,1431,,,1431,1431,1998.0,1431,1431
1442,1461.0,,,1442,,,1442,1442,2009.0,1442,1442
1453,1472.0,,,1453,,,1453,1453,2020.0,1453,1453
1464,1483.0,,,1464,,,1464,1464,2031.0,1464,1464
1475,1494.0,,,1475,,,1475,1475,2042.0,1475,1475
1486,1505.0,,,1486,,,1486,1486,2053.0,1486,1486
1497,1516.0,,,1497,,,1497,1497,2064.0,1497,1497
1508,1527.0,,,1508,,,1508,1508,2075.0,1508,1508
1519,1538.0,,,1519,,,1519,1519,2086.0,1519,1519
1530,1549.0,,,1530,,,1530,1530,2097.0,1530,1530
1541,1560.0,,,1541,,,1541,1541,2108.0,1541,1541
1552,1571.0,,,1552,,,1552,1552,2119.0,1552,1552
1563,1582.0,,,1563,,,1563,1563,2130.0,1563,1563
1574,1593.0,,,1574,,,1574,1574,2146.0,1574,1574
1585,1604.0,,,1585,,,1585,1585,2163.0,1585,1585
1596,1615.0,,,1596,,,1596,1596,2174.0,1596,1596
1607,1626.0,,,1607,,,1607,1607,2185.0,1607,1607
1618,1637.0,,,1618,,,1618,1618,2196.0,1618,1618
1629,1648.0,,,1629,,,1629,1629,2207.0,1629,1629
1640,1659.0,,,1640,,,1640,1640,2218.0,1640,1640
1651,1670.0,,,1651,,,1651,1651,2229.0,1651,1651
1662,1681.0,,,1662,,,1662,1662,2240.0,1662,1662
1673,1692.0,,,1673,,,1673,1673,2251.0,1673,1673
1684,1703.0,,,1684,,,1684,1684,2262.0,1684,1684
1695,1714.0,,,1695,,,1695,1695,2273.0,1695,1695
1706,1725.0,,,1706,,,1706,1706,2284.0,1706,1706
1717,1736.0,,,1717,,,1717,1717,2295.0,1717,1717
1728,1747.0,,,1728,,,1728,1728,2306.0,1728,1728
1739,1758.0,,,1739,,,1739,1739,2317.0,1739,1739
1750,1769.0,,,1750,,,1750,1750,2328.0,1750,1750
1761,1780.0,,,1761,,,1761,1761,2339.0,1761,1761
1772,1791.0,,,1772,,,1772,1772,2350.0,1772,1772
1783,1802.0,,,1783,,,1783,1783,2361.0,1783,1783
1794,1813.0,,,1794,,,1794,1794,,1794,1794
1805,1824.0,,,1805,,,1805,1805,,1805,1805
1816,1835.0,,,1816,,,1816,1816,,1816,1816
1827,1846.0,,,1827,,,1827,1827,,1827,1827
1838,1857.0,,,1838,,,1838,1838,,1838,1838
1849,1868.0,,,1849,,,1849,1849,,1849,1849
1860,1879.0,,,1860,,,1860,1860,,1860,1860
1871,1890.0,,,1871,,,1871,1871,,1871,1871
1882,1901.0,,,1882,,,1882,1882,,1882,1882
1893,1912.0,,,1893,,,1893,1893,,1893,1893
1904,1923.0,,,1904,,,1904,1904,,1904,1904
1915,1934.0,,,1915,,,1915,1915,,1915,1915
1926,1945.0,,,1926,,,1926,1926,,1926,1926
1937,1956.0,,,1937,,,1937,1937,,1937,1937
1948,1967.0,,,1948,,,1948,1948,,1948,1948
1959,1978.0,,,1959,,,1959,1959,,1959,1959
1970,1989.0,,,1970,,,1970,1970,,1970,1970
1981,2000.0,,,1981,,,1981,1981,,1981,1981
1992,2011.0,,,1992,,,1992,1992,,1992,1992
2003,2022.0,,,2003,,,2003,2003,,2003,2003
2014,2033.0,,,2014,,,2014,2014,,2014,2014
2025,2044.0,,,2025,,,2025,2025,,2025,2025
2036,2055.0,,,2036,,,2036,2036,,2036,2036
2047,2066.0,,,2047,,,2047,2047,,2047,2047
2058,2077.0,,,2058,,,2058,2058,,2058,2058
2069,2088.0,,,2069,,,2069,2069,,2069,2069
2080,2099.0,,,2080,,,2080,2080,,2080,2080
2091,2110.0,,,2091,,,2091,2091,,2091,2091
2102,2121.0,,,2102,,,2102,2102,,2102,2102
2113,2132.0,,,2113,,,2113,2113,,2113,2113
2124,2143.0,,,2124,,,2124,2124,,2124,2124
2135,2154.0,,,2135,,,2135,2135,,2135,2135
2146,2165.0,,,2146,,,2146,2146,,2146,2146
2157,2176.0,,,2157,,,2157,2157,,2157,2157
2168,2187.0,,,2168,,,2168,2168,,2168,2168
2179,2198.0,,,2179,,,2179,2179,,2179,2179
2190,2209.0,,,2190,,,2190,2190,,2190,2190
2201,2220.0,,,2201,,,2201,2201,,2201,2201
2212,2231.0,,,2212,,,2212,2212,,2212,2212
2223,2242.0,,,2223,,,2223,2223,,2223,2223
2234,2253.0,,,2234,,,2234,2234,,2234,2234
2245,2264.0,,,2245,,,2245,2245,,2245,2245
2256,2275.0,,,2256,,,2256,2256,,2256,2256
2267,2286.0,,,2267,,,2267,2267,,2267,2267
2278,2297.0,,,2278,,,2278,2278,,2278,2278
2289,2308.0,,,2289,,,2289,2289,,2289,2289
2300,2319.0,,,2300,,,2300,2300,,2300,2300
2311,2330.0,,,2311,,,2311,2311,,2311,2311
2322,2341.0,,,2322,,,2322,2322,,2322,2322
