G16,G22,G23,G19,G10,G05,G29,G08,G09,G25,G06,G30,G01,G17,G02,G26,G31,G04,G32,G14,G21,G24,G07,G03,G27,G13,G20,G11,G18,G15,G12
85770.0,,74280.0,23190.0,,,,9390,,47640.0,,,,,,81870.0,,74250.0,63720.0,34440.0,,,,,6390.0,,,,,54330.0,
86070.0,,,23280.0,,,,9420,,47670.0,,,,,,81960.0,,74430.0,63810.0,34740.0,,,,,6420.0,,,,,54630.0,
,,,23340.0,,,,9510,,47760.0,,,,,,82020.0,,,63870.0,47340.0,,,,,6510.0,,,,,,
,,,23490.0,,,,9540,,47790.0,,,,,,82050.0,,,64020.0,47370.0,,,,,6540.0,,,,,,
,,,23580.0,,,,9630,,47880.0,,,,,,82170.0,,,64110.0,47430.0,,,,,6630.0,,,,,,
,,,23880.0,,,,9690,,47940.0,,,,,,82260.0,,,64170.0,84570.0,,,,,6690.0,,,,,,
,,,24090.0,,,,9720,,47970.0,,,,,,82320.0,,,64320.0,84600.0,,,,,6720.0,,,,,,
,,,24180.0,,,,9810,,48090.0,,,,,,82470.0,,,64410.0,84720.0,,,,,6810.0,,,,,,
,,,24240.0,,,,9840,,48180.0,,,,,,82560.0,,,64470.0,84750.0,,,,,6840.0,,,,,,
,,,24480.0,,,,9930,,48240.0,,,,,,82620.0,,,64620.0,85140.0,,,,,6930.0,,,,,,
,,,24780.0,,,,9990,,48270.0,,,,,,82650.0,,,64710.0,85230.0,,,,,68160.0,,,,,,
,,,25080.0,,,,10020,,48390.0,,,,,,82740.0,,,64770.0,,,,,,68460.0,,,,,,
,,,25380.0,,,,10110,,48480.0,,,,,,82770.0,,,64920.0,,,,,,68760.0,,,,,,
,,,25680.0,,,,10140,,48540.0,,,,,,82860.0,,,65010.0,,,,,,,,,,,,
,,,25980.0,,,,10230,,48660.0,,,,,,82920.0,,,65070.0,,,,,,,,,,,,
,,,26280.0,,,,10290,,48690.0,,,,,,82950.0,,,65220.0,,,,,,,,,,,,
,,,43860.0,,,,10320,,48780.0,,,,,,83040.0,,,65310.0,,,,,,,,,,,,
,,,44160.0,,,,10410,,48840.0,,,,,,83070.0,,,65370.0,,,,,,,,,,,,
,,,44460.0,,,,10440,,48990.0,,,,,,83160.0,,,65520.0,,,,,,,,,,,,
,,,44760.0,,,,10530,,49080.0,,,,,,83220.0,,,65610.0,,,,,,,,,,,,
,,,45060.0,,,,10590,,49140.0,,,,,,83370.0,,,65910.0,,,,,,,,,,,,
,,,45360.0,,,,10620,,49290.0,,,,,,83460.0,,,66210.0,,,,,,,,,,,,
,,,45660.0,,,,10710,,49380.0,,,,,,83520.0,,,66510.0,,,,,,,,,,,,
,,,45960.0,,,,10740,,49440.0,,,,,,83670.0,,,66810.0,,,,,,,,,,,,
,,,46260.0,,,,10830,,49680.0,,,,,,83760.0,,,67110.0,,,,,,,,,,,,
,,,46560.0,,,,10890,,49980.0,,,,,,83820.0,,,84600.0,,,,,,,,,,,,
,,,46860.0,,,,10920,,50280.0,,,,,,83970.0,,,84900.0,,,,,,,,,,,,
,,,47160.0,,,,11010,,50580.0,,,,,,84060.0,,,85200.0,,,,,,,,,,,,
,,,,,,,11040,,,,,,,,84120.0,,,85500.0,,,,,,,,,,,,
,,,,,,,11130,,,,,,,,84270.0,,,85800.0,,,,,,,,,,,,
,,,,,,,11190,,,,,,,,,,,86100.0,,,,,,,,,,,,
,,,,,,,11220,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11310,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11340,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11430,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11490,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11520,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11610,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11640,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11730,,,,,,,,,,,,,,,,,,,,,,,
