G23,G16,G26,G21,G31,G27,G08,G18,G10,G07
1,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0
20,20.0,20.0,20.0,21.0,20.0,41.0,20.0,20.0,20.0
21,21.0,21.0,40.0,40.0,21.0,61.0,21.0,21.0,21.0
40,40.0,40.0,41.0,41.0,40.0,81.0,40.0,40.0,40.0
41,41.0,41.0,60.0,60.0,41.0,101.0,41.0,41.0,41.0
60,60.0,60.0,61.0,80.0,60.0,140.0,60.0,60.0,60.0
61,61.0,61.0,81.0,81.0,61.0,141.0,61.0,61.0,61.0
80,80.0,81.0,100.0,100.0,81.0,161.0,81.0,81.0,80.0
81,81.0,100.0,101.0,120.0,100.0,200.0,100.0,100.0,81.0
100,100.0,101.0,140.0,121.0,101.0,220.0,101.0,101.0,100.0
101,101.0,120.0,141.0,160.0,120.0,240.0,120.0,120.0,101.0
120,120.0,121.0,161.0,180.0,140.0,241.0,140.0,121.0,120.0
121,121.0,140.0,200.0,181.0,141.0,280.0,141.0,140.0,121.0
140,140.0,141.0,220.0,201.0,160.0,300.0,160.0,141.0,140.0
141,141.0,160.0,240.0,221.0,161.0,301.0,161.0,160.0,141.0
160,160.0,161.0,241.0,240.0,200.0,321.0,200.0,161.0,160.0
161,161.0,180.0,280.0,241.0,220.0,341.0,220.0,180.0,161.0
180,180.0,200.0,300.0,261.0,240.0,360.0,240.0,200.0,180.0
181,181.0,220.0,301.0,281.0,241.0,380.0,241.0,220.0,181.0
200,200.0,221.0,320.0,344.0,280.0,400.0,280.0,221.0,200.0
201,201.0,240.0,321.0,364.0,300.0,403.0,300.0,240.0,220.0
220,220.0,241.0,341.0,384.0,301.0,440.0,301.0,241.0,221.0
221,221.0,280.0,360.0,,320.0,441.0,320.0,280.0,240.0
240,240.0,300.0,380.0,,321.0,460.0,321.0,300.0,241.0
241,241.0,301.0,400.0,,340.0,461.0,340.0,301.0,280.0
